#wavelength	flux
101.4113868	8.17E+03
101.4367428	8.34E+03
101.4621052	8.51E+03
101.4874738	8.45E+03
101.5128488	8.17E+03
101.5382302	7.87E+03
101.5636179	8.18E+03
101.589012	8.68E+03
101.6144124	8.81E+03
101.6398191	8.83E+03
101.6652322	8.76E+03
101.6906517	8.68E+03
101.7160775	8.79E+03
101.7415097	8.90E+03
101.7669482	8.91E+03
101.7923931	8.80E+03
101.8178443	8.57E+03
101.843302	8.53E+03
101.8687659	8.56E+03
101.8942363	8.63E+03
101.919713	8.67E+03
101.9451961	8.57E+03
101.9706856	8.56E+03
101.9961814	8.58E+03
102.0216836	8.45E+03
102.0471922	8.10E+03
102.0727071	7.86E+03
102.0982285	8.15E+03
102.1237562	8.30E+03
102.1492903	8.21E+03
102.1748308	8.05E+03
102.2003777	7.85E+03
102.2259309	7.64E+03
102.2514906	7.42E+03
102.2770566	7.19E+03
102.3026291	6.89E+03
102.3282079	6.43E+03
102.3537931	5.74E+03
102.3793847	5.21E+03
102.4049828	4.90E+03
102.4305872	4.35E+03
102.456198	3.59E+03
102.4818152	2.74E+03
102.5074389	1.83E+03
102.5330689	9.58E+02
102.5587053	3.74E+02
102.5843482	3.55E+02
102.6099975	8.84E+02
102.6356532	1.66E+03
102.6613152	2.62E+03
102.6869838	3.62E+03
102.7126587	4.29E+03
102.73834	4.74E+03
102.7640278	5.52E+03
102.789722	6.01E+03
102.8154226	6.16E+03
102.8411297	6.90E+03
102.8668431	7.46E+03
102.892563	7.78E+03
102.9182894	8.35E+03
102.9440221	8.76E+03
102.9697613	8.99E+03
102.995507	9.17E+03
103.021259	9.37E+03
103.0470175	9.57E+03
103.0727825	9.62E+03
103.0985539	9.70E+03
103.1243317	9.73E+03
103.150116	9.66E+03
103.1759067	9.99E+03
103.2017039	1.03E+04
103.2275075	1.05E+04
103.2533176	1.06E+04
103.2791341	1.07E+04
103.3049571	1.08E+04
103.3307866	1.08E+04
103.3566225	1.09E+04
103.3824648	1.09E+04
103.4083136	1.11E+04
103.4341689	1.11E+04
103.4600307	1.11E+04
103.4858989	1.12E+04
103.5117736	1.13E+04
103.5376547	1.13E+04
103.5635423	1.13E+04
103.5894364	1.10E+04
103.615337	9.63E+03
103.6412441	9.06E+03
103.6671576	9.62E+03
103.6930776	8.79E+03
103.7190041	9.27E+03
103.744937	1.08E+04
103.7708765	1.15E+04
103.7968224	1.18E+04
103.8227748	1.20E+04
103.8487338	1.20E+04
103.8746992	1.19E+04
103.9006711	1.20E+04
103.9266494	1.21E+04
103.9526343	1.23E+04
103.9786257	1.23E+04
104.0046236	1.23E+04
104.030628	1.22E+04
104.0566389	1.23E+04
104.0826562	1.24E+04
104.1086801	1.25E+04
104.1347105	1.26E+04
104.1607474	1.27E+04
104.1867908	1.27E+04
104.2128408	1.28E+04
104.2388972	1.27E+04
104.2649602	1.25E+04
104.2910296	1.22E+04
104.3171056	1.22E+04
104.3431881	1.25E+04
104.3692772	1.27E+04
104.3953727	1.26E+04
104.4214748	1.26E+04
104.4475834	1.27E+04
104.4736986	1.29E+04
104.4998202	1.31E+04
104.5259484	1.32E+04
104.5520831	1.30E+04
104.5782244	1.27E+04
104.6043722	1.31E+04
104.6305265	1.34E+04
104.6566874	1.34E+04
104.6828548	1.36E+04
104.7090288	1.37E+04
104.7352093	1.35E+04
104.7613963	1.34E+04
104.7875899	1.33E+04
104.8137901	1.26E+04
104.8399968	1.27E+04
104.86621	1.34E+04
104.8924298	1.36E+04
104.9186562	1.37E+04
104.9448891	1.40E+04
104.9711286	1.40E+04
104.9973746	1.41E+04
105.0236272	1.42E+04
105.0498864	1.41E+04
105.0761521	1.41E+04
105.1024244	1.43E+04
105.1287033	1.44E+04
105.1549887	1.45E+04
105.1812807	1.43E+04
105.2075793	1.39E+04
105.2338845	1.41E+04
105.2601962	1.44E+04
105.2865145	1.44E+04
105.3128394	1.44E+04
105.3391709	1.46E+04
105.3655089	1.47E+04
105.3918536	1.47E+04
105.4182048	1.49E+04
105.4445626	1.49E+04
105.470927	1.49E+04
105.497298	1.48E+04
105.5236756	1.44E+04
105.5500598	1.46E+04
105.5764506	1.51E+04
105.602848	1.55E+04
105.629252	1.56E+04
105.6556626	1.56E+04
105.6820798	1.53E+04
105.7085035	1.53E+04
105.734934	1.57E+04
105.761371	1.58E+04
105.7878146	1.58E+04
105.8142648	1.59E+04
105.8407217	1.60E+04
105.8671851	1.61E+04
105.8936552	1.60E+04
105.9201319	1.55E+04
105.9466152	1.51E+04
105.9731052	1.54E+04
105.9996017	1.60E+04
